epoch,Day,Infectived,Recovered,Current Infected,Susceptibles
3,31,127,127,0,8
3,32,127,127,0,8
3,33,127,127,0,8
3,34,127,127,0,8
3,35,127,127,0,8
3,36,127,127,0,8
3,37,127,127,0,8
3,38,127,127,0,8
3,39,127,127,0,8
3,40,127,127,0,8
3,41,127,127,0,8
3,42,127,127,0,8
3,43,127,127,0,8
3,44,127,127,0,8
3,45,127,127,0,8
3,46,127,127,0,8
3,47,127,127,0,8
3,48,127,127,0,8
3,49,127,127,0,8
3,50,127,127,0,8
3,51,127,127,0,8
3,52,127,127,0,8
3,53,127,127,0,8
3,54,127,127,0,8
3,55,127,127,0,8
3,56,127,127,0,8
3,57,127,127,0,8
3,58,127,127,0,8
3,59,127,127,0,8
3,60,127,127,0,8
3,61,127,127,0,8
3,62,127,127,0,8
3,63,127,127,0,8
3,64,127,127,0,8
3,65,127,127,0,8
3,66,127,127,0,8
3,67,127,127,0,8
3,68,127,127,0,8
3,69,127,127,0,8
3,70,127,127,0,8
3,71,127,127,0,8
3,72,127,127,0,8
3,73,127,127,0,8
3,74,127,127,0,8
3,75,127,127,0,8
3,76,127,127,0,8
3,77,127,127,0,8
3,78,127,127,0,8
3,79,127,127,0,8
3,80,127,127,0,8
3,81,127,127,0,8
3,82,127,127,0,8
3,83,127,127,0,8
3,84,127,127,0,8
3,85,127,127,0,8
3,86,127,127,0,8
3,87,127,127,0,8
3,88,127,127,0,8
3,89,127,127,0,8
3,90,127,127,0,8
3,91,127,127,0,8
3,92,127,127,0,8
3,93,127,127,0,8
3,94,127,127,0,8
3,95,127,127,0,8
3,96,127,127,0,8
3,97,127,127,0,8
3,98,127,127,0,8
3,99,127,127,0,8
3,100,127,127,0,8
4,1,11,0,11,124
4,2,83,0,83,52
4,3,132,0,132,3
4,4,132,0,132,3
4,5,132,0,132,3
4,6,132,0,132,3
4,7,132,0,132,3
4,8,132,1,131,3
4,9,132,11,121,3
4,10,132,83,49,3
4,11,132,132,0,3
4,12,132,132,0,3
4,13,132,132,0,3
4,14,132,132,0,3
4,15,132,132,0,3
4,16,132,132,0,3
4,17,132,132,0,3
4,18,132,132,0,3
4,19,132,132,0,3
4,20,132,132,0,3
4,21,132,132,0,3
4,22,132,132,0,3
4,23,132,132,0,3
4,24,132,132,0,3
4,25,132,132,0,3
4,26,132,132,0,3
4,27,132,132,0,3
4,28,132,132,0,3
4,29,132,132,0,3
4,30,132,132,0,3
4,31,132,132,0,3
4,32,132,132,0,3
4,33,132,132,0,3
4,34,132,132,0,3
4,35,132,132,0,3
4,36,132,132,0,3
4,37,132,132,0,3
4,38,132,132,0,3
4,39,132,132,0,3
4,40,132,132,0,3
4,41,132,132,0,3
4,42,132,132,0,3
4,43,132,132,0,3
4,44,132,132,0,3
4,45,132,132,0,3
4,46,132,132,0,3
4,47,132,132,0,3
4,48,132,132,0,3
4,49,132,132,0,3
4,50,132,132,0,3
4,51,132,132,0,3
4,52,132,132,0,3
4,53,132,132,0,3
4,54,132,132,0,3
4,55,132,132,0,3
4,56,132,132,0,3
4,57,132,132,0,3
4,58,132,132,0,3
4,59,132,132,0,3
4,60,132,132,0,3
4,61,132,132,0,3
4,62,132,132,0,3
4,63,132,132,0,3
4,64,132,132,0,3
4,65,132,132,0,3
4,66,132,132,0,3
4,67,132,132,0,3
4,68,132,132,0,3
4,69,132,132,0,3
4,70,132,132,0,3
4,71,132,132,0,3
4,72,132,132,0,3
4,73,132,132,0,3
4,74,132,132,0,3
4,75,132,132,0,3
4,76,132,132,0,3
4,77,132,132,0,3
4,78,132,132,0,3
4,79,132,132,0,3
4,80,132,132,0,3
4,81,132,132,0,3
4,82,132,132,0,3
4,83,132,132,0,3
4,84,132,132,0,3
4,85,132,132,0,3
4,86,132,132,0,3
4,87,132,132,0,3
4,88,132,132,0,3
4,89,132,132,0,3
4,90,132,132,0,3
4,91,132,132,0,3
4,92,132,132,0,3
4,93,132,132,0,3
4,94,132,132,0,3
4,95,132,132,0,3
4,96,132,132,0,3
4,97,132,132,0,3
4,98,132,132,0,3
4,99,132,132,0,3
4,100,132,132,0,3
5,1,12,0,12,123
5,2,82,0,82,53
5,3,129,0,129,6
5,4,129,0,129,6
5,5,129,0,129,6
5,6,129,0,129,6
5,7,129,0,129,6
5,8,129,1,128,6
5,9,129,12,117,6
5,10,129,82,47,6
5,11,129,129,0,6
